Index;IsIncluded;Filename;StartTime;StopTime;Chapter
1;FALSE;Bashar - 1, 3, 5  No Risk Formula.mp3;;;
2;FALSE;Bashar - Manifest Self Empowerment III  1of7.aac;;;
3;FALSE;Bashar - Manifest Self Empowerment III  2of7.aac;;;
4;FALSE;Bashar - Manifest Self Empowerment III  3of7.aac;;;
5;FALSE;Bashar - Manifest Self Empowerment III  4of7.aac;;;
6;FALSE;Bashar - Manifest Self Empowerment III  5of7.aac;;;
7;FALSE;Bashar - Manifest Self Empowerment III  6of7.aac;;;
8;FALSE;Bashar - Manifest Self Empowerment III  7of7.aac;;;
9;FALSE;Bashar - 1-3-5-7 Tools of Change.mp3;;;
10;FALSE;Bashar - 1, 3, 5, 7 Tools of Change   1of4.mp3;;;
11;FALSE;Bashar - 1, 3, 5, 7 Tools of Change   2of4.mp3;;;
12;FALSE;Bashar - 1, 3, 5, 7 Tools of Change   3of4.mp3;;;
13;FALSE;Bashar - 1, 3, 5, 7 Tools of Change   4of4.mp3;;;
14;FALSE;Bashar - Blueprint for Change (Message From Our Future).mp3;;;
15;FALSE;Bashar - Transformers  1of4.mp3;;;
16;FALSE;Bashar - Transformers  2of4.mp3;;;
17;FALSE;Bashar - Transformers  3of4.mp3;;;
18;FALSE;Bashar - Transformers  4of4.mp3;;;
19;FALSE;Bashar - Nature of Nature  1of4.mp3;;;
20;FALSE;Bashar - Nature of Nature  2of4.mp3;;;
21;FALSE;Bashar - Nature of Nature  3of4.mp3;;;
22;FALSE;Bashar - Nature of Nature  4of4.mp3;;;
23;FALSE;Bashar - Invisible and Visible Things (Jap).mp3;;;
24;FALSE;Bashar - Healing the World (Japan).mp3;;;
25;FALSE;Bashar - Three Absolutes  1of3.mp3;;;
26;FALSE;Bashar - Three Absolutes  2of3.mp3;;;
27;FALSE;Bashar - Three Absolutes  3of3.mp3;;;
28;FALSE;Bashar - The Three Absolutes II.mp3;;;
29;FALSE;Bashar - The Stream  1of3.mp3;;;
30;FALSE;Bashar - The Stream  2of3.mp3;;;
31;FALSE;Bashar - The Stream  3of3.mp3;;;
32;FALSE;Bashar - Earth Changes  1of2.mp3;;;
33;FALSE;Bashar - Earth Changes  2of2.mp3;;;
34;FALSE;Bashar - The Razor's Edge  1of3.mp3;;;
35;FALSE;Bashar - The Razor's Edge  2of3.mp3;;;
36;FALSE;Bashar - The Razor's Edge  3of3.mp3;;;
37;FALSE;Bashar - Space-Time Travel  1of3.mp3;;;
38;FALSE;Bashar - Space-Time Travel  2of3.mp3;;;
39;FALSE;Bashar - Space-Time Travel  3of3.mp3;;;
40;FALSE;Bashar - Be X static (Ecstatic) (missing tape 2).mp3;;;
41;FALSE;Bashar - Shattering Old Patterns  1of2.mp3;;;
42;FALSE;Bashar - Shattering Old Patterns  2of2.mp3;;;
43;FALSE;Bashar - Shattering Old Patterns.mp3;;;
44;FALSE;Bashar - Tipping The Scales  1of4.mp3;;;
45;FALSE;Bashar - Tipping The Scales  2of4.mp3;;;
46;FALSE;Bashar - Tipping The Scales  3of4.mp3;;;
47;FALSE;Bashar - Tipping The Scales  4of4.mp3;;;
48;FALSE;Bashar - Take Action Guides  1of3.mp3;;;
49;FALSE;Bashar - Take Action Guides  2of3.mp3;;;
50;FALSE;Bashar - Take Action Guides  3of3.mp3;;;
51;FALSE;Bashar - Abundance Evolving Times  1of3.mp3;;;
52;FALSE;Bashar - Abundance Evolving Times  2of3.mp3;;;
53;FALSE;Bashar - Abundance Evolving Times  3of3.mp3;;;
54;FALSE;Bashar - Choices and Opportunities  1of3.mp3;;;
55;FALSE;Bashar - Choices and Opportunities  2of3.mp3;;;
56;FALSE;Bashar - Choices and Opportunities  3of3.mp3;;;
57;FALSE;01 Bashar - Intro Mechanics and Metaphysics.mp3;;;
58;FALSE;02 Bashar - Physical to Dream reality.mp3;;;
59;FALSE;03 Bashar - Why can't I create anything.mp3;;;
60;FALSE;04 Bashar - Beliefs, then Emotions, then Thoughts.mp3;;;
61;FALSE;05 Bashar - Getting in touch with Beliefs.mp3;;;
62;FALSE;06 Bashar - Curiosity and Interest.mp3;;;
63;FALSE;07 Bashar - Aging and living in the Present.mp3;;;
64;FALSE;08 Bashar - Why ESP tests fail.mp3;;;
65;FALSE;09 Bashar - Life on Essassani.mp3;;;
66;FALSE;Bashar - Letting Go and Abundance.mp3;;;
67;FALSE;Bashar - Higher Self.mp3;;;
68;FALSE;Bashar - Earth History 101  1of2.mp3;;;
69;FALSE;Bashar - Earth History 101  2of2.mp3;;;
70;FALSE;Bashar - Keys to Ascension  1of3.mp3;;;
71;FALSE;Bashar - Keys to Ascension  2of3.mp3;;;
72;FALSE;Bashar - Keys to Ascension  3of3.mp3;;;
73;FALSE;Bashar - Keys to Ascension (Meditation).aac;;;
74;FALSE;Bashar - Electro Magnetheric Geography.mp3;;;
75;FALSE;Bashar - Electro Magnetheric Geography.mp3;;;
76;FALSE;Bashar - Application.mp3;;;
77;FALSE;Bashar - Perth Esplanade.mp3;;;
78;FALSE;Bashar - Perth King's Ambassador  1of4.mp3;;;
79;FALSE;Bashar - Perth King's Ambassador  2of4.mp3;;;
