Index;IsIncluded;Filename;StartTime;StopTime;Chapter
1079;TRUE;The Power of Paradox  (Conscious Life Expo)  1of2.mp3;0:02:59;0:19:13;(2020-02-09) The Power of Paradox
1080;FALSE;The Power of Paradox  (Conscious Life Expo)  2of2.mp3;;;
1081;TRUE;The Mind Body Meditation  (Conscious Life Expo)  1of2.mp3;0:01:42;0:29:28;(2020-02-10) The Mind Body Meditation
1082;FALSE;The Mind Body Meditation  (Conscious Life Expo)  2of2.mp3;;;
1083;TRUE;The Eye of The Needle.m4a;0:01:03;0:25:54;(2020-04-25) The Eye of The Needle
1084;TRUE;The Parallel Reality Wheel  1of2.mp3;0:00:58;0:11:07;(2020-05-09) The Parallel Reality Wheel
1085;FALSE;The Parallel Reality Wheel  2of2.mp3;;;
1086;TRUE;This Transmission Has No Title (Live Stream).m4a;0:00:47;0:20:37;(2020-05-23) This Transmission Has No Title
1087;TRUE;Fairy Tales for Grownups  1of2.m4a;0:00:52;0:17:20;(2020-06-20) Fairy Tales for Grownups
1088;FALSE;Fairy Tales for Grownups  2of2.m4a;;;
1089;TRUE;1-3-5-7-11, A Refresher Course.m4a;0:00:19;0:38:26;(2020-07-18) 1-3-5-7-11, A Refresher Course
1090;TRUE;Increasing the Probability of Contact.m4a;0:01:02;0:18:52;(2020-08-15) Increasing the Probability of Contact
1091;TRUE;The Relationship Between Fear and Power  1of2.m4a;0:01:04;0:14:12;(2020-09-12) The Relationship Between Fear and Power
1092;FALSE;The Relationship Between Fear and Power  2of2.m4a;;;
1093;TRUE;Your ET Neighbors.m4a;0:00:24;0:09:30;(2020-10-10) Your ET Neighbors
1094;TRUE;State of Being, Circumstances and Synchronicity  1of2.m4a;0:00:49;0:11:56;(2020-11-07) State of Being, Circumstances and Synchronicity
1095;FALSE;State of Being, Circumstances and Synchronicity  2of2.m4a;;;
1096;TRUE;Tis the Season  1of2.m4a;0:01:09;0:18:43;(2020-12-05) Tis the Season
1097;FALSE;Tis the Season  2of2.m4a;;;
